O. Hohlov - E. Milun;Hohlov, O. - Milun, E.
Hooy-Program;HOOY-PROGRAM
Jim Hossack;Hossack, Jim
Gary Howland;Howland, Gary
Christopher Huang;Huang, Christopher
Fenris Hugbunadur;Hugbunadur, Fenris
Watson, Andy - Hughes, Dave;Hughes, Dave - Watson, Andy
Alexey Inozemcev;Inozemcev, Alexey
Ivanov Alexey;Ivanov, Alexey
Klaus Jahn;Jahn, Klaus
Janez Jaklic;Jaklic, Janez
Christopher James;James, Christopher 
Robert Janelle - Brad O'Donnell;Janelle, Robert - O'Donnell, Brad
Techno Lab - Jeez;Jeez - Techno Lab
Paul Johnson - Steve Owens;Johnson, Paul - Owens, Steve
M.H. - K.S. - Slot;K.S. - M.H. - Slot
kabardcomp;Kabardcomp
Achim Kern;Kern, Achim
Christopher Klimas;Klimas, Christopher 
Klokov I.B.;Klokov, I.B.
V. Yeliseyev - S. Kokunov;Kokunov, S. - Yeliseyev, V.
Klaus Kopecz;Kopecz, Klaus
Zdravko Kos;Kos, Zdravko
Z. Kosina;Kosina, Z.
Anestis Koutsoudis;Koutsoudis, Anestis
Koutsodis, Anestis;Koutsoudis, Anestis
Sergey Krinitsin;Krinitsin, Sergey
Clas Kristiansson;Kristiansson, Clas
Sergey Krutyko;Krutyko, Sergey
kweepa;Kweepa
J.A. Lajarin;Lajarin, J. A.
Young, Chris - Lake, Phillip;Lake, Phillip - Young, Chris
Gary Lancaster;Lancaster, Gary
Sergey Lisitsin;Lisitsin, Sergey
Wlodzimierz Lon;Lon, Wlodzimierz
The Lords;Lords, The
M.A. Lovell;Lovell, M.A.
Lycett, Anthony 'monty.mole';Lycett, Anthony 'Monty Mole'
P. Macey;Macey, P.
Peter Machala;Machala, Peter
The Mad Guys - Sinclair User;Mad Guys, The - Sinclair User
The Mad Guys - Your Sinclair;Mad Guys, The - Your Sinclair
H. Maier;Maier, H.
Vladimar Makys;Makys, Vladimar
Gustavo Marin;Marin, Gustavo
Chris Markwyn;Markwyn, Chris
Artur Marques;Marques, Artur
Joe Mason;Mason, Joe
Pilot Soft - Matysoft;Matysoft - Pilot Soft
C.W. May;May, C.W.
Holmes McDougall;McDougall, Holmes
MDF hacker;MDF Hacker
Conrado Badenas Mengod;Mengod, Conrado Badenas
John Menzies;Menzies, John
Jochen Merz;Merz, Jochen
Jacek Michalak;Michalak, Jacek
Virgin Mastertronic - MicroHobby;MicroHobby - Virgin Mastertronic
Richards, Graham - Millar, Darren;Millar, Darren - Richards, Graham
Twins, Mojon;Mojon Twins, The
Twins, The Mojon;Mojon Twins, The
P. Monger;Monger, P.
Dominic Morris;Morris, Dominic
naughty Crew;Naughty Crew
Yuri Nazarenko;Nazarenko, Yuri
Jeremic Nebojsa;Nebojsa, Jeremic
Kevin Norton - Brandon Myers;Norton, Kevin - Myers, Brandon
rook - nq;nq - rook
Nyitral, Laszlo;Nyitrai, Laszlo
Laszlo Nyitrai;Nyitrai, Laszlo
NuitraiSOFT;NyitraiSOFT
Nyitraisoft;NyitraiSOFT
Dylan O'Donnell;O'Donnell, Dylan
Mike Oliphant;Oliphant, Mike
Conor O'Neill;O'Neill, Conor
Mike O'Neill;O'Neill, Mike
Owen, Andrew - O'Neill, Rick;O'Neill, Rick - Owen, Andrew
Juan Palacio;Palacio, Juan
Tutty - Paradise;Paradise - Tutty
Marnie Parker;Parker, Marnie
J, Paul;Paul J
Percival, Jamie Scribbler;Percival, Jamie 'Scribbler'
Max Petrov;Petrov, Max
Udo R. Pfeifer;Pfeifer, Udo R.
Andy Phillips;Philips, Andy
D.H. Phillips;Phillips, D.H.
Michael S.Phillips;Phillips, Michael S.
Chris Pile;Pile, Chris
Artur Podtelkoff;Podtelkoff, Artur
Softenterprise - Artur Podtelkoff;Podtelkoff, Artur - Softenterprise
John Prince;Prince, John
Proxima Hackers Team;Proxima Hackers
Maureen Putnam;Putnam, Maureen
ZX-Legion - Rage;Rage - ZX Legion
The Ramjam Corporation;Ramjam Corporation, The
Tony Raugas;Raugas, Tony
J. Weigner - M. Reimann;Reimann, M. - Weinger, J.
The Rockonerz;Rockonerz, The
C. Rodriguez;Rodriguez, C.
Stalker - Ivan Roschin;Roschin, Ivan - Stalker
Ivan Roshin;Roshin, Ivan
Fraser Ross;Ross, Fraser
Garry Rowland;Rowland, Garry
Daniel Sailer;Sailer, Daniel
C., Salvador;Salvador, C.
Juan Sanchez;Sanchez, Juan
Corporation, Santiago Romero Under Contract With Microxoft;Santiago Romero Under Contract With Microxoft Corporation
Gunther Schmidl;Schmidl, Gunther
Aslett Scholey;Scholey, Aslett
Hartmut Seba;Seba, Hartmut
F. Shillito;Shillito, F.
Alexandru Simion;Simion, Alexandru
Softcat Micros - Sinclair User;Sinclair User - Softcat Micros
U.S. Gold - Sinclair User;Sinclair User - U.S. Gold
Vortex - Sinclair User;Sinclair Usr - Vortex
