TOSEC path;WoS FTP path;Original TOSEC game name;ZXDB-based TOSEC game name;ZXDB ID;ZXDB release ID;WoS URL
tosec\Applications\[TZX]\Vu-File (1982)(Investronica)(es)(Side A)[16K][re-release].zip;/pub/sinclair/utils/VU-File(InvestronicaS.A.).tzx.zip;Vu-File (1982)(Investronica);VU-File (1982)(Investronica);0008957;1;http://www.worldofspectrum.org/infoseekid.cgi?id=0008957
tosec\Applications\[TZX]\Vu-File (1982)(Investronica)(es)(Side B)[16K][re-release].zip;/pub/sinclair/utils/VU-File(InvestronicaS.A.).tzx.zip;Vu-File (1982)(Investronica);VU-File (1982)(Investronica);0008957;1;http://www.worldofspectrum.org/infoseekid.cgi?id=0008957
tosec\Applications\[TZX]\Watson (1983)(J. Branegan)[a].zip;/pub/sinclair/utils/Watson.tzx.zip;Watson (1983)(J. Branegan);Watson (19xx)(John Branegan);0008961;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0008961
tosec\Applications\[TZX]\Wham! the Music Box (1985)(Melbourne House).zip;/pub/sinclair/utils/WhamTheMusicBox.tzx.zip;Wham! the Music Box (1985)(Melbourne House);Wham! The Music Box (1985)(Melbourne House);0008965;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0008965
tosec\Applications\[TAP]\White Lightning Demonstration (1984)(Oasis Software).zip;/pub/sinclair/utils/WhiteLightningDemo.tap.zip;White Lightning Demonstration (1984)(Oasis Software);White Lightning (1984)(Oasis Software);0008967;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0008967
tosec\Applications\[TZX]\White Lightning - Microdrive Version (1984)(Oasis Software)(Side A).zip;/pub/sinclair/utils/WhiteLightning(MicrodriveVersion).tzx.zip;White Lightning - Microdrive Version (1984)(Oasis Software);White Lightning (1984)(Oasis Software);0008967;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0008967
tosec\Applications\[TZX]\White Lightning - Microdrive Version (1984)(Oasis Software)(Side B).zip;/pub/sinclair/utils/WhiteLightning(MicrodriveVersion).tzx.zip;White Lightning - Microdrive Version (1984)(Oasis Software);White Lightning (1984)(Oasis Software);0008967;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0008967
tosec\Applications\[Z80]\Wizard Prang's Headache Mantra (1985)(Spectrum Computing).zip;/pub/sinclair/utils/HeadacheMantra.z80.zip;Wizard Prang's Headache Mantra (1985)(Spectrum Computing);Headache Mantra (1985)(Spectrum Computing);0008970;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0008970
tosec\Applications\[Z80]\Wojownik (19xx)(-)(pl).zip;/pub/sinclair/utils/Wojownij.z80.zip;Wojownik (19xx)(-);Wojownij (19xx)(-);0008971;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0008971
tosec\Applications\[TAP]\Writer, The - Derby Version (1987)(DaJe)(cs).zip;/pub/sinclair/utils/WriterThe(WriterThe-DerbyVersion)(DaJe).tap.zip;Writer, The - Derby Version (1987)(DaJe);Writer, The (1987)(DaJe);0008989;1;http://www.worldofspectrum.org/infoseekid.cgi?id=0008989
tosec\Applications\[TZX]\Compilador (1983)(Ventamatic)(es)[16K][aka Wye Compiler].zip;/pub/sinclair/utils/WyeCompiler(Compilador16k)(Ventamatic).tap.zip;Compilador (1983)(Ventamatic);Wye Compiler (1983)(Ventamatic);0008991;1;http://www.worldofspectrum.org/infoseekid.cgi?id=0008991
tosec\Applications\[Z80]\Wykresy 3 Wymiarowe (1987)(Robert W. Heron)(pl)[a].zip;/pub/sinclair/utils/TrzyWymiary.z80.zip;Wykresy 3 Wymiarowe (1987)(Robert W. Heron);Trzy Wymiary (1987)(Krajowe Wydawnictwo Czasopism);0008992;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0008992
tosec\Applications\[Z80]\X-Loader v2.30 (1988)(M.P. Sun)[128K].zip;/pub/sinclair/utils/X-LoaderV2.30.z80.zip;X-Loader v2.30 (1988)(M.P. Sun);X-Loader (1988)(M.P. Sun);0008994;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0008994
tosec\Applications\[Z80]\X-Loader XModem - User Guide (1988)(M.P. Sun)[128K].zip;/pub/sinclair/utils/X-LoaderXmodemUserGuide.z80.zip;X-Loader XModem - User Guide (1988)(M.P. Sun);X-Loader Xmodem User Guide (1988)(M.P. Sun);0008995;0;http://www.worldofspectrum.org/infoseekid.cgi?id=0008995
