Shakespeare - Henry IV Part One;1984;Penguin Study;General - Education;084fd7a3a0168a7cf621a184fae0fad6;http://www.worldofspectrum.org/infoseekid.cgi?id=0009176;9176;KEEP;0;Shakespeare - Henry IV Part One - Tape 2 - Side B.tzx;/pub/sinclair/games/s/Shakespeare-HenryIVPartOne.tzx.zip;;48K;tzx;32932;;0;2;2;;;;084fd7a3a0168a7cf621a184fae0fad6;d3c69e4;79af509e3024a8f75e4f6e1c48cda4f60a95dd61;
Gremlins 2 - La Nueva Generacion;1990;Topo Soft;Arcade Game - Action;08933272c2eb0febff5c8c4f5aa974da;http://www.worldofspectrum.org/infoseekid.cgi?id=0002139;2139;REMOVE FILE;0;Gremlins 2 - La Nueva Generacion.dsk;/pub/sinclair/games/g/Gremlins2-LaNuevaGeneracion.dsk.zip;;48K;dsk;194816;;0;0;0;;;;08933272c2eb0febff5c8c4f5aa974da;13c2370e;8188fee3a09fba1cf6323dc8868990a71679b19a;
Mega 4;1991;Topo Soft;Compilation;08933272c2eb0febff5c8c4f5aa974da;http://www.worldofspectrum.org/infoseekid.cgi?id=0016645;16645;KEEP;0;Mega 4 Disk 1 - Side 1.dsk;/pub/sinclair/compilations/Mega4.dsk.zip;;48K;dsk;194816;;0;1;1;;;;08933272c2eb0febff5c8c4f5aa974da;13c2370e;8188fee3a09fba1cf6323dc8868990a71679b19a;
30+1 Kazetta;2002;Laszlo Nyitrai;Compilation;09ffee7059b90e55e624c6011ea00027;http://www.worldofspectrum.org/infoseekid.cgi?id=0016661;16661;SPLIT ENTRY;0;LABI128K.Z80;/pub/sinclair/compilations/30+1Kazetta.z80.zip;;128K;z80;27893;;0;0;0;;;;09ffee7059b90e55e624c6011ea00027;229d6d75;06b804e9c670bf335b78fd575ce8ad665f9ec64a;
30+1 Programs;2003;Laszlo Nyitrai;Compilation;09ffee7059b90e55e624c6011ea00027;http://www.worldofspectrum.org/infoseekid.cgi?id=0014605;14605;SPLIT ENTRY;0;LABI128K.Z80;/pub/sinclair/compilations/30+1Programs.z80.zip;;128K;z80;27893;;0;0;0;;;;09ffee7059b90e55e624c6011ea00027;229d6d75;06b804e9c670bf335b78fd575ce8ad665f9ec64a;
51 Games Compilation;2002;Laszlo Nyitrai;Compilation;09ffee7059b90e55e624c6011ea00027;http://www.worldofspectrum.org/infoseekid.cgi?id=0014602;14602;SPLIT ENTRY;0;LABI128K.Z80;/pub/sinclair/compilations/51GamesCompilation.tzx.zip;;128K;z80;27893;;0;0;0;;;;09ffee7059b90e55e624c6011ea00027;229d6d75;06b804e9c670bf335b78fd575ce8ad665f9ec64a;
51 Games Compilation;2002;Laszlo Nyitrai;Compilation;0a0afb86d1ef8be80605de33d03ffa19;http://www.worldofspectrum.org/infoseekid.cgi?id=0014602;14602;SPLIT ENTRY;0;HERNYO.TZX;/pub/sinclair/compilations/51GamesCompilation.tzx.zip;;48K;tzx;5246;;0;0;0;;;;0a0afb86d1ef8be80605de33d03ffa19;82685fa9;17064d53d39563981bc4e78f6658539d5f0923f3;
Game84 Compilation;1984;Laszlo Nyitrai;Compilation;0a0afb86d1ef8be80605de33d03ffa19;http://www.worldofspectrum.org/infoseekid.cgi?id=0014604;14604;SPLIT ENTRY;0;HERNYO.TZX;/pub/sinclair/compilations/Game84Compilation.tzx.zip;;48K;tzx;5246;;0;0;0;;;;0a0afb86d1ef8be80605de33d03ffa19;82685fa9;17064d53d39563981bc4e78f6658539d5f0923f3;
Kotsoft Childhood;2009;Kotsoft;Compilation;0a1b171f8e41a7c2091106f79ba07f5a;http://www.worldofspectrum.org/infoseekid.cgi?id=0025221;25221;SPLIT ENTRY;0;warship.tzx;/pub/sinclair/compilations/KotsoftChildhood.tzx.zip;;48K;tzx;10255;;0;0;0;;;;0a1b171f8e41a7c2091106f79ba07f5a;78f890e2;f9845b3c7e8e6c453909436f75a7719e9e592298;
Warship;1994;Kotsoft;Arcade Game - Shoot-em-up;0a1b171f8e41a7c2091106f79ba07f5a;http://www.worldofspectrum.org/infoseekid.cgi?id=0025220;25220;KEEP;0;warship.tzx;/pub/sinclair/games/w/Warship.tzx.zip;;48K;tzx;10255;;0;0;0;;;;0a1b171f8e41a7c2091106f79ba07f5a;78f890e2;f9845b3c7e8e6c453909436f75a7719e9e592298;
51 Games Compilation;2002;Laszlo Nyitrai;Compilation;0b19f97906233d833da7d06e1294fe6c;http://www.worldofspectrum.org/infoseekid.cgi?id=0014602;14602;SPLIT ENTRY;0;UDGTERV.TZX;/pub/sinclair/compilations/51GamesCompilation.tzx.zip;;48K;tzx;2923;;0;0;0;;;;0b19f97906233d833da7d06e1294fe6c;9c6ddd20;efc8891ea2549d1a4735439f56496545b4d7bc60;
Game84 Compilation;1984;Laszlo Nyitrai;Compilation;0b19f97906233d833da7d06e1294fe6c;http://www.worldofspectrum.org/infoseekid.cgi?id=0014604;14604;SPLIT ENTRY;0;UDGTERV.TZX;/pub/sinclair/compilations/Game84Compilation.tzx.zip;;48K;tzx;2923;;0;0;0;;;;0b19f97906233d833da7d06e1294fe6c;9c6ddd20;efc8891ea2549d1a4735439f56496545b4d7bc60;
