Wrong release chosen:
tosec_path;zxdb_path;wos_id;ZXDB TOSEC-compliant name
Sinclair ZX Spectrum\Games\[Z80]\Action Reflex (1986)(Mirrorsoft)[a].zip;;0000078;Action Reflex (1986)(Mirrorsoft).z80
Sinclair ZX Spectrum\Games\[SCL]\Action Reflex (1986)(Mirrorsoft)[h Omega Hackers Group][t].zip;;0000078;Action Reflex (1986)(Mirrorsoft)[h Omega Hackers Group][t][h Omega Hackers Group][t].scl
Sinclair ZX Spectrum\Games\[SCL]\Action Reflex (1986)(Mirrorsoft)[h].zip;;0000078;Action Reflex (1986)(Mirrorsoft)[h][h].scl
Sinclair ZX Spectrum\Games\[TZX]\Adidas Championship Football (1990)(Erbe Software)[re-release].zip;/pub/sinclair/games/a/AdidasChampionshipFootball(Musical1S.A.).tzx.zip;0000085;Adidas Championship Football (1990)(Musical 1)[128K][re-release].tzx
Sinclair ZX Spectrum\Games\[TZX]\Adidas Championship Tie-Break (1990)(Erbe Software)[re-release].zip;/pub/sinclair/games/a/AdidasChampionshipTie-Break(Musical1S.A.).tzx.zip;0000087;Adidas Championship Tie-Break (1990)(Musical 1)[re-release].tzx
Sinclair ZX Spectrum\Games\[TZX]\Adventure A - The Planet of Death (1982)(Sinclair Research)[a2][16K][re-release].zip;;0005913;Adventure A - Planet of Death (1982)(Sinclair Research)[16K][re-release].tzx
Sinclair ZX Spectrum\Games\[TZX]\Adventure A - The Planet of Death (1982)(Sinclair Research)[a][16K][re-release].zip;/pub/sinclair/games/a/AdventureA-PlanetOfDeath(SinclairResearchLtd).tzx.zip;0005913;Adventure A - Planet of Death (1982)(Sinclair Research)[16K][re-release].tzx
Sinclair ZX Spectrum\Games\[TZX]\Adventure B - Inca Curse (1982)(Sinclair Research)[a][16K][re-release].zip;/pub/sinclair/games/a/AdventureB-IncaCurse.tzx.zip;0005914;Adventure B - Inca Curse (1982)(Artic Computing)[16K][re-release].tzx
Sinclair ZX Spectrum\Games\[TZX]\Adventure D - Espionage Island (1982)(Sinclair Research)[re-release].zip;/pub/sinclair/games/a/AdventureD-EspionageIsland.tzx.zip;0005919;Adventure D - Espionage Island (1982)(Artic Computing)[re-release].tzx
Sinclair ZX Spectrum\Games\[TZX]\Adventure Number 10 - Savage Island Part 1 (1985)(Adventure International).zip;/pub/sinclair/games/s/SavageIsland1(Tynesoft).tzx.zip;0006924;Savage Island 1 (1987)(Tynesoft)(Part 1).tzx
Sinclair ZX Spectrum\Games\[TZX]\Adventure Number 11 - Savage Island Part 2 (1985)(Adventure International).zip;/pub/sinclair/games/s/SavageIsland2(Tynesoft).tzx.zip;0006925;Savage Island 2 (1987)(Tynesoft)(Part 2 of 2).tzx
Sinclair ZX Spectrum\Covertapes\[TZX]\Air Raid (1984)(Sinclair Programs)(nl).zip;;0013232;Air Raid (1984)(Sinclair Programs)(nl).tzx
Sinclair ZX Spectrum\Covertapes\[TAP]\Air Raid (1984)(Sinclair Programs).zip;;0013232;Air Raid (1984)(Sinclair Programs).tap
Sinclair ZX Spectrum\Games\[TZX]\Airwolf II (1987)(Encore).zip;;0000128;Airwolf II (1991)(Encore).tzx
Sinclair ZX Spectrum\Games\[Z80]\Airwolf II (1987)(Encore).zip;;0000128;Airwolf II (1991)(Encore).z80
Sinclair ZX Spectrum\Games\[Z80]\Airwolf II (1987)(Encore)[a2].zip;;0000128;Airwolf II (1991)(Encore).z80
Sinclair ZX Spectrum\Games\[Z80]\Airwolf II (1987)(Encore)[a3].zip;;0000128;Airwolf II (1991)(Encore).z80
Sinclair ZX Spectrum\Games\[TZX]\Airwolf II (1987)(Encore)[a].zip;/pub/sinclair/games/a/AirwolfII(Encore).tzx.zip;0000128;Airwolf II (1991)(Encore).tzx
Sinclair ZX Spectrum\Games\[Z80]\Airwolf II (1987)(Encore)[a].zip;;0000128;Airwolf II (1991)(Encore).z80
Sinclair ZX Spectrum\Games\[TZX]\Ajedrez (1983)(Indescomp)(es)[16K][aka Spectrum Micro Chess].zip;/pub/sinclair/games/s/SpectrumMicroChess(Ajedrez)(IndescompS.A.).tzx.zip;0004728;Ajedrez (1986)(Indescomp)(es)[16K][aka Spectrum Micro Chess].tzx
Sinclair ZX Spectrum\Covertapes\[TAP]\Aliquids Simplex (1984)(Your Computer).zip;/pub/sinclair/games/a/AliquidSimplex.tap.zip;0000164;Aliquid Simplex (1984)(Your Computer).tap
Sinclair ZX Spectrum\Covertapes\[TZX]\Aliquids Simplex (1984)(Your Computer).zip;;0000164;Aliquid Simplex (1984)(Your Computer).tzx
Sinclair ZX Spectrum\Covertapes\[Z80]\Aliquids Simplex (1984)(Your Computer).zip;;0000164;Aliquid Simplex (1984)(Your Computer).z80
Sinclair ZX Spectrum\Covertapes\[Z80]\Aliquids Simplex (1984)(Your Computer)[a2].zip;;0000164;Aliquid Simplex (1984)(Your Computer).z80
Sinclair ZX Spectrum\Covertapes\[Z80]\Aliquids Simplex (1984)(Your Computer)[a].zip;;0000164;Aliquid Simplex (1984)(Your Computer).z80
Sinclair ZX Spectrum\Games\[Z80]\All or Nothing (1984)(Abbex Electronics)[a][speech].zip;;0000167;All or Nothing (1984)(Abbex Electronics)[speech].z80
Sinclair ZX Spectrum\Games\[TZX]\All or Nothing (1984)(Abbex Electronics)[speech].zip;/pub/sinclair/games/a/AllOrNothing.tzx.zip;0000167;All or Nothing (1984)(Abbex Electronics)[speech].tzx
Sinclair ZX Spectrum\Games\[Z80]\All or Nothing (1984)(Abbex Electronics)[speech].zip;;0000167;All or Nothing (1984)(Abbex Electronics)[speech].z80
Sinclair ZX Spectrum\Games\[TZX]\Alta Tension (1987)(Erbe Software)[aka 007 - The Living Daylights].zip;/pub/sinclair/games/l/LivingDaylights-TheComputerGameThe(AltaTension)(ErbeSoftwareS.A.).tzx.zip;0000006;Alta Tension (1987)(Erbe Software)[aka 007 - The Living Daylights].tzx
Sinclair ZX Spectrum\Games\[Z80]\Andy Capp (1988)(Mirrorsoft)[a2][128K].zip;;0000200;Andy Capp (1988)(Mirrorsoft)[128K].z80
Sinclair ZX Spectrum\Games\[TZX]\Andy Capp (1988)(Mirrorsoft)[a].zip;;0000200;Andy Capp (1988)(Mirrorsoft).tzx
Sinclair ZX Spectrum\Games\[Z80]\Andy Capp (1988)(Mirrorsoft)[a].zip;;0000200;Andy Capp (1988)(Mirrorsoft).z80
Sinclair ZX Spectrum\Games\[Z80]\Andy Capp (1988)(Mirrorsoft)[a][128K].zip;;0000200;Andy Capp (1988)(Mirrorsoft)[128K].z80
